ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARG,Argentina,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),237924.28125,251976.5,236968.40625,246968.125,255009.546875,272821.5,280016.5625,290777.5,309981.78125,294969.59375,327019.34375,337660.5625,339820.9375,327342.6875,352784.5,385236.90625,386146.21875,396909,417411.03125,455670.46875,470236.90625,487923.25,498060.84375,516708.90625,544641.75,541411.75,541351.3125,575913.5,557362.1875,596473,605140.75,572360.5625,554266.875,577060.25,588633.1875,547687.3125,586812,601674.75,589925.5,548568.4375,541225.25,598032.5,659656.875,700896.375,741802.4375,720696.3125,760526.75,822213.5625,853870.25,824962.8125,818454,782369.6875,697134.5,758740.625,827251.625,900477.125,972939.75,1060578.875,1103609,1038291.6875,1143422.75,1212073.375,1199632.5,1228487.5,1197620.25,1230329.125,1204734.25,1238689.875,1206268.25,1182132.5,1065095.75,1176311,1238301.125,1218352.25
ARG,Argentina,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),443304.28125,486740.375,518949.9375,553483.375,584683.375,621233.8125,652221.9375,687526.4375,726628.5625,757487.875,816702.75,878633.75,925532.4375,952883.25,999868.4375,1047281.5625,1088177.25,1130581.375,1179486.625,1249613.125,1318808.875,1394710.625,1468528,1528677.875,1591252.25,1652333.125,1724784.875,1823331.625,1895201.375,1974660.5,2058199.75,2114802.75,2144526.5,2175729.75,2202909,2215763.25,2239318.75,2276186.75,2308918.75,2318552.5,2316432,2337542.75,2388928.5,2457381,2540939.25,2597811.25,2664185.75,2753937,2850290,2917020.25,2969278.5,2996496.25,2974311.25,2987798.25,3045520.75,3125045.5,3225173,3358898.25,3500743,3574509.25,3694759.75,3844723,3963128.25,4081183.25,4177142.5,4277609,4359475,4468098.5,4558053,4605820,4625739,4714402.5,4829826,4936365.5
ARM,Armenia,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22791.490234375,20129.724609375,11724.28125,10691.2734375,11260.8173828125,12036.8212890625,12747.00390625,13170.3330078125,14137.0634765625,14597.2578125,15457.857421875,16935.12109375,19483.921875,22219.62109375,24545.533203125,27948.95703125,31637.65234375,35987.58203125,38487.8828125,33041.8515625,33773.76171875,35344.5,37877.0234375,39110.9609375,40535.43359375,41846.97265625,41918.8828125,45075.05078125,47420.078125,51038.36328125,47384.65625,50131.19921875,56437.58984375,61364.03125
ARM,Armenia,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101752.1328125,105616.1640625,104364.6640625,102405.6015625,101975.8046875,101220.6328125,100882.5,100722.25,101056.7890625,101504.875,102503.6171875,103725.4453125,106360.3046875,110495.5390625,115882.125,123612.6953125,134823.796875,148344.78125,163497.328125,173257.515625,182275.265625,189309.953125,195869.984375,201334.59375,206360.6875,211489.765625,215075.109375,219472.140625,224084.03125,228847.75,233158.671875,239942.453125,248201.78125,257494.34375
ATG,Antigua and Barbuda,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,475.905090332031,511.486785888672,549.292297363281,595.993286132813,616.278259277344,582.469909667969,530.308471679688,568.946594238281,589.022888183594,652.478088378906,696.215637207031,730.632080078125,733.500122070313,783.690734863281,842.126953125,907.374816894531,983.736267089844,1069.41882324219,1150.44189453125,1210.86535644531,1247.33288574219,1274.48217773438,1289.24670410156,1357.31726074219,1447.94152832031,1384.81726074219,1476.27685546875,1557.05297851563,1630.71899414063,1691.17993164063,1711.10717773438,1656.45068359375,1704.88513183594,1805.70776367188,1901.16638183594,2051.82592773438,2314.55932617188,2590.533203125,2673.14819335938,2410.080078125,2274.64086914063,2283.83129882813,2360.861328125,2346.67919921875,2398.32763671875,2432.97827148438,2533.21801757813,2595.09423828125,2775.77319335938,2861.78125,2321.60083007813,2511.56103515625,2751.02270507813,2857.01708984375
ATG,Antigua and Barbuda,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,1774.28674316406,1815.98876953125,1855.87097167969,1896.47680664063,1946.33679199219,1986.6796875,2016.189453125,2015.19372558594,2011.31140136719,2112.01879882813,2191.50756835938,2288.39770507813,2307.0693359375,2310.43676757813,2351.7734375,2428.92822265625,2569.23583984375,2794.90087890625,3072.78784179688,3391.90869140625,3640.85522460938,3905.14379882813,4127.9736328125,4313.8837890625,4509.34912109375,4725.10205078125,4978.67724609375,5261.94970703125,5599.8955078125,5968.06396484375,6352.51416015625,6493.41796875,6687.9326171875,6952.1455078125,7258.9833984375,7692.2421875,8496.349609375,9432.3095703125,10391.7880859375,11212.783203125,11644.6943359375,11848.0537109375,12123.0107421875,12486.7548828125,12918.2333984375,13355.2177734375,13828.7763671875,14329.291015625,15424.9130859375,16487.71484375,17287.861328125,18469.47265625,19547.84375,20544.830078125
AUS,Australia,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),148707.890625,152490.171875,146248.40625,162114.296875,175074.5625,181980.1875,182397.890625,186392.984375,199036.453125,211228.671875,216140.953125,219088.328125,232842.765625,248562.109375,264281.46875,270176.1875,286878,301614.90625,323228.96875,346807.96875,360562.40625,374662.03125,384476.6875,400267.59375,405614.21875,416113.34375,431073.09375,434924.65625,452540.96875,466278.5625,481852.09375,497875.53125,486801,509163.40625,536039.375,557300.5,571565.1875,604474.9375,627888.4375,650350.5625,647864.5625,650639.25,676968.875,703914.875,731268.4375,759523.875,789245.9375,826050.1875,867581.375,901603.5,919862,956468.75,986030.875,1027683.6875,1060098.5,1089307.875,1130410.875,1170950.625,1193111.375,1219598.25,1248954.875,1297872.875,1331646,1366206.125,1396128.25,1434652.875,1467357.125,1509594.5,1542376,1540531.375,1573054.625,1639789.75,1696231.25,1720506.25
AUS,Australia,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),712402.25,768188.9375,784147.5625,815786.6875,858365.4375,901560.1875,932533.0625,964544.875,1006757.375,1052758.625,1100372.25,1135589.375,1182194.125,1231092.375,1290835.375,1344057.5,1402941.625,1463248.5,1535040.75,1611390.25,1685673.5,1761507.25,1838995.375,1919370.5,1984156.125,2050902.75,2120486.75,2192115.25,2274668.75,2355175.5,2451078.75,2551982.25,2626699.5,2705562.5,2796189.25,2891848.25,2981028,3077088,3185545.75,3286824.25,3360047.25,3420984.75,3492737.75,3572427.75,3669155.75,3763744.75,3864806.25,3979691.5,4097570.25,4225215,4319261,4429619,4563002,4708955.5,4858963,5022133.5,5187847,5369089.5,5542700,5712208.5,5883105,6086152,6291468.5,6480480.5,6648222.5,6797224,6940895,7098245,7245557,7380284,7524767.5,7691365.5,7862773.5,8045612.5
AUT,Austria,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),67078.9296875,71235.234375,70958.046875,73289.2265625,79337.4609375,88421.90625,93872.5703125,99323.234375,102957.0078125,105985.1484375,115675.21875,121731.515625,124154.03125,129604.703125,137477.875,141111.65625,148984.84375,153829.890625,160491.8125,170787.5,182900.09375,192252.015625,204186.734375,214165.96875,222612.140625,221805.609375,231957.640625,243741.046875,243227.59375,256256.578125,260693.625,260317.46875,265553.09375,273448.21875,273588.4375,280424.53125,286878.21875,290771.625,300355.125,312030.125,325589.84375,336795.4375,343846.3125,345657.75,353960.84375,363404.46875,371456.6875,379427.53125,392680.46875,407452.78125,420448.625,425985.875,432309.0625,437244.15625,448460.59375,458866.5,473868.40625,491758.03125,498904.78125,481012.6875,489714.15625,504050.375,507217.0625,505945.3125,509769.25,516414.1875,527347.8125,539330.4375,552728.625,562428.875,526893.1875,552159.5,581301.875,575750.625
AUT,Austria,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),303119.65625,316731.5625,324077.9375,326184.8125,333836.09375,349587.09375,362155.03125,375817.6875,388830.84375,402292.125,424683.6875,447721.53125,467712.0625,487781.21875,514539.3125,541062.875,572496.625,601295.9375,631600.375,664459.625,704771.8125,752785.375,807466.3125,859470,912322.125,957986.875,1004914.8125,1057882.625,1102175.375,1150415.25,1199733.25,1246370.375,1282641,1317496.75,1350805.125,1388264.5,1425865.875,1465934.875,1511202.75,1559133.875,1610738.625,1669027,1724663.25,1776390,1832789,1887250.75,1943757.75,1998351.5,2055369.25,2111432.25,2171859.5,2227135.25,2274174,2324961.5,2374753.75,2423009.75,2471192,2524512.5,2578275.5,2617957.5,2652521.25,2694111.25,2735107.75,2775554.75,2813119.25,2852331.75,2896182.75,2943963,2995897.5,3051706.75,3094446,3146882,3198415.5,3241278
